dim,birth,death
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.41421354
0.00000000,0.00000000,1.73205078
0.00000000,0.00000000,2.00000000
0.00000000,0.00000000,2.00000000
0.00000000,0.00000000,2.00000000
0.00000000,0.00000000,2.23606801
0.00000000,0.00000000,2.23606801
0.00000000,0.00000000,2.23606801
0.00000000,0.00000000,2.23606801
0.00000000,0.00000000,2.23606801
0.00000000,0.00000000,2.23606801
0.00000000,0.00000000,2.23606801
0.00000000,0.00000000,2.44948983
0.00000000,0.00000000,2.44948983
0.00000000,0.00000000,2.44948983
0.00000000,0.00000000,2.44948983
0.00000000,0.00000000,2.44948983
0.00000000,0.00000000,2.64575124
0.00000000,0.00000000,2.64575124
0.00000000,0.00000000,2.64575124
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.00000000
0.00000000,0.00000000,3.16227770
0.00000000,0.00000000,3.16227770
0.00000000,0.00000000,3.16227770
0.00000000,0.00000000,3.31662488
0.00000000,0.00000000,3.31662488
0.00000000,0.00000000,3.31662488
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.46410155
0.00000000,0.00000000,3.60555124
0.00000000,0.00000000,3.60555124
0.00000000,0.00000000,3.60555124
0.00000000,0.00000000,4.00000000
0.00000000,0.00000000,4.12310553
0.00000000,0.00000000,4.35889912
0.00000000,0.00000000,12.08304596
1.00000000,4.79583168,5.19615221
1.00000000,4.69041586,4.79583168
1.00000000,4.47213602,4.58257580
1.00000000,4.35889912,4.79583168
1.00000000,4.35889912,5.09901953
1.00000000,4.12310553,4.58257580
1.00000000,4.00000000,4.12310553
1.00000000,4.00000000,4.47213602
1.00000000,4.00000000,4.12310553
1.00000000,4.00000000,4.47213602
1.00000000,4.00000000,4.12310553
1.00000000,3.74165750,3.87298346
1.00000000,3.60555124,4.12310553
1.00000000,3.46410155,4.58257580
1.00000000,3.46410155,4.35889912
1.00000000,3.46410155,4.35889912
1.00000000,3.46410155,4.24264050
1.00000000,3.46410155,3.60555124
