Mostafa A. Bassiouni,K. A. Hazboun,Ali Orooji
Mark Sullivan,Michael Stonebraker,Michael A. Olson,Daniel Barbara
Aditya N. Saharia,Debabrata Dey
Kotagiri Ramamohanarao,Limsoon Wong,Justin Zobel,Elisa Bertino,Ron Sacks-Davis
Apostolos Papadopoulos,Yannis Theodoridis,Philippe Rigaux,Enrico Nardelli,Timos K. Sellis,Michel Scholl
Evaggelia Pitoura,Le Gruenwald,Elisa Bertino,Kai-Uwe Sattler,Abdelsalam Helal,Aidong Zhang,Bharat K. Bhargava,Andrew E. Wade,Omran A. Bukhres,Ahmed K. Elmagarmid,Serge Abiteboul,Thomas Schwarz,Margaret H. Dunham,Dieter Pfoser,Elena Ferrari,Krithi Ramamritham,Byung Suk Lee,Panos K. Chrysanthis,George Samaras
Gurmeet Singh Manku,Rajeev Motwani,Jennifer Widom,Brian Babcock,Shivnath Babu,Bruce G. Lindsay
Weimin Du,Ming-Chien Shan,William Kent,Abdelsalam Helal,Omran A. Bukhres,Witold Litwin,Won Kim,Ahmed K. Elmagarmid,Ravi Krishnamurthy,Joseph Albert,Umeshwar Dayal,Mohammad A. Ketabchi
Randy H. Katz,Wei Hong,Leonard D. Shapiro,David J. DeWitt,Jeff Dozier,B. R. Badrinath,Nathan Goodman,Yanlei Diao,Tobin J. Lehman,Hong-Tai Chou,Hans-Arno Jacobsen,Michael Stonebraker,Lawrence A. Rowe,Frank Olken,Umeshwar Dayal,Haran Boral,Eugene Wong,Anthony C. Klug
T. H. Merrett,Hanan Samet,Jack A. Orenstein,Yahiko Kambayashi,Ekow J. Otoo
Dan Suciu,Ashish Gupta,Tova Milo,Kenneth A. Ross,Rada Chirkova,Richard Hull,Minos N. Garofalakis,Limsoon Wong,Gottfried Vossen,Daniela Florescu,Chris Clifton,Jihad Boulos,Catriel Beeri,Mary F. Fernandez,Jiawei Han,Jennifer Widom,Susan B. Davidson,Georg Lausen,Nick Koudas,Wang Chiew Tan,Ahmed K. Elmagarmid,Michael Stonebraker,Magdalena Balazinska,David Maier,Serge Abiteboul,Alin Deutsch,Alon Y. Levy,Daniel J. Rosenkrantz,Wenfei Fan,Lucian Popa,Peter Scheuermann,Rajeev Rastogi,Zachary G. Ives,Christopher Re,Maurizio Lenzerini,Peter Buneman,Alon Y. Halevy,Gerhard Weikum,Divesh Srivastava,Adam Bosworth,Sihem Amer-Yahia,Atsuyuki Morishima,Ioana Manolescu,AnHai Doan,Gerome Miklau,Sophie Cluet,Makoto Onizuka
Pasquale Rullo,Elena Ferrari,Witold Staniszkis,Elisa Bertino
Maria Zemankova,Alon Y. Levy,Divesh Srivastava,Abraham Silberschatz,Yannis E. Ioannidis
Tirthankar Lahiri,Jennifer Widom,Ashok Joshi,Serge Abiteboul
Le Gruenwald,Kai-Uwe Sattler,Daniela Florescu,Michael J. Franklin,Beng Chin Ooi,Joseph M. Hellerstein,Alon Y. Halevy,Alex Delis,Henry F. Korth,Michael Stonebraker,Johannes Gehrke,Laura M. Haas,Margaret H. Eich,Surajit Chaudhuri,Thomas Schwarz,Samuel Madden,Mary F. Fernandez,Sunita Sarawagi,Heinz Schweppe,Raghu Ramakrishnan,Michael J. Carey,Gerhard Weikum,Peter A. Boncz,Yannis E. Ioannidis,M. Tamer Ozsu,Donald Kossmann,Aris M. Ouksel,Philip A. Bernstein,Panos K. Chrysanthis,George Samaras,Rakesh Agrawal,Hector Garcia-Molina,AnHai Doan
Eugene Wong,Michael Stonebraker,Philip A. Bernstein,Oliver Gunther,Nathan Goodman,David W. Shipman,Yannis E. Ioannidis,Michael Hammer
Marian H. Nodine,David L. Wells,Mitch Cherniack,Abdelsalam Helal,Omran A. Bukhres,Aidong Zhang,Sridhar Ramaswamy,Bharat K. Bhargava,Anne H. H. Ngu,Ahmed K. Elmagarmid,Richard S. Brice,Darrell Woelk,Marek Rusinkiewicz,Dimitrios Georgakopoulos,Stanley B. Zdonik
Jonathan Goldstein,Amarnath Gupta,Jingren Zhou,Kevin S. Beyer,Raghu Ramakrishnan,Mohamed H. Ali,Per-Ake Larson,Roger S. Barga
Yanlei Diao,Hongjun Lu,Donald Kossmann,Songting Chen,Mehmet Altinel,Michael J. Franklin,Michael J. Carey,Daniela Florescu
Serge Miranda,Stefano Spaccapietra
Mark A. Roth,Don S. Batory,Henry F. Korth,Abraham Silberschatz,Eric N. Hanson
Peter M. Stocker,Jorge B. Bocca,Peter M. D. Gray
Munir Cochinwala,Vassilios S. Verykios,Gary E. Herman,Chung-Min Chen,Elisa Bertino,Paolo Missier,Ahmed K. Elmagarmid,Marco Mesiti,Patrick Valduriez,Dennis Shasha
Yoshifumi Masunaga,Michael L. Brodie,Yoshinari Kanamori,Guy M. Lohman,Elisa Bertino,Laura M. Haas,Dean Daniels,Paul F. Wilms,Bruce G. Lindsay,Francois Bancilhon,Patricia G. Selinger,Elke A. Rundensteiner,C. Mohan
Yannis Vassiliou,Alexander Borgida,Joachim W. Schmidt,Maurizio Lenzerini,Matthias Jarke,Janis A. Bubenko Jr.,Timos K. Sellis,Klaus R. Dittrich,Shamkant B. Navathe,John Mylopoulos,Martin Staudt,Valeria De Antonellis,Michael V. Mannino,James Clifford,Eric Simon
Pamela Drew,Dennis McLeod,Dik Lun Lee,Frederick H. Lochovsky,Calton Pu,Abraham Silberschatz,Roger King,Murthy Ganti,Lyman Do,Chung-Dak Shum,Marek Rusinkiewicz,Kamalakar Karlapalem
Kamalakar Karlapalem,Chung-Dak Shum,Soujanya Vadapalli,Frederick H. Lochovsky,Yahiko Kambayashi,Dik Lun Lee,Shamkant B. Navathe,Sharma Chakravarthy
David Botzer,Opher Etzion
Y. Edmund Lien,Shalom Tsur
Kai-Uwe Sattler,M. Tamer Ozsu,Panos K. Chrysanthis,Aris M. Ouksel,Karl Aberer,Tiziana Catarci,Erich J. Neuhold,Stefano Spaccapietra,Michael Gertz,Wolfgang Lehner,Peter A. Boncz,Heinz Schweppe,Daniel A. Keim
Erik G. Hoel,Vassilis J. Tsotras,Hanan Samet,Betty Salzberg,Marios Hadjieleftheriou,Dimitris Papadias,Philippe Rigaux,Max J. Egenhofer
Michael A. Olson,Michael Stonebraker,Michael Ubell,Robert Devine,Witold Litwin,Wei Hong
Christian Mathis,Theo Harder
Bin Jiang,Xuemin Lin,Jiawei Han,Jian Pei
