James Allan,Djoerd Hiemstra,Amit Singhal,Diane Kelly,Shin-jeng Lin,Robert W. P. Luk,Soo Young Rieh,Zhihong Lu,Maristella Agosti,Koji Eguchi,Stephen E. Robertson,Alan F. Smeaton,Susan T. Dumais,Thomas Hofmann,Mark Sanderson,Paul Ogilvie,Norbert Fuhr,ChengXiang Zhai,Soyeon Park,Yiming Yang,David A. Evans,Margaret E. Connell,Gerard Salton,Anton Leuski,Victor Lavrenko,David J. Harper,Jinxi Xu,Kyung-Soon Lee,Leah S. Larkey,Chirag Shah,Donna Harman,Colleen Cool,Charles L. A. Clarke,James P. Callan,Howard R. Turtle,Nicholas J. Belkin,Jose Perez Carballo,Fernando Diaz,Jamie Callan,Fuchun Peng,Ben Carterette,Chris Buckley,David D. Lewis,Wessel Kraaij,John M. Prager,Javed A. Aslam,W. Bruce Croft,Dragomir R. Radev,Ellen M. Voorhees
Aynur A. Dayanik,David D. Lewis
Susanne M. Humphrey,William B. Frakes,Linda C. Smith,F. W. Lancaster,Dina Demner-Fushman,Bryce Allen
Anastasios Tombros,Fabio Crestani,Joemon M. Jose,Iadh Ounis,Patrick Gallinari,Mark Sanderson,C. J. van Rijsbergen,Ian Ruthven,Ryen W. White,Birger Larsen,Norbert Fuhr,Mounia Lalmas
Michael Sanford Nilan,Linda Schamber,Dmitri Roussinov
Carol A. Hert,Gary Marchionini,Elizabeth D. Liddy,Rob Kling,Geoffrey C. Bowker,Stephanie W. Haas
Shlomo Geva,Xavier Tannier,Jaap Kamps,Andrew Trotman
S. K. Michael Wong,Peter Bollmann,Chris Buckley,Gerard Salton,Vijay V. Raghavan
David C. Roberts,Ophir Frieder,David A. Grossman,Lee A. Hollaar
Eduardo Peis,Enrique Herrera-Viedma
Marie-Francine Moens,Arjen P. de Vries
Shuming Shi,Zhiwei Li,Chin-Yew Lin,Hang Li,Yunbo Cao
Anton Leuski,Sanjeev Khudanpur,Daqing He,Douglas W. Oard,Victor Lavrenko,Dina Demner-Fushman,Chin-Yew Lin,Kareem Darwish
