Sreangsu Acharyya,Shourya Roy
Lionel Villard,Laurent Tardif,Jerome Simeon
Yoshiki Mikami,Massimo Santini,Sebastiano Vigna
Olfa Nasraoui,Bing Liu,Bamshad Mobasher,C. Lee Giles
Ruihua Song,Haifeng Liu,Ji-Rong Wen,Yiqun Liu,Wei-Ying Ma,Yong Yu
Craig E. Wills,Hao Shang,Balachander Krishnamurthy
Baoyao Zhou,Jinlin Chen
Jerome Simeon,Jonathan Robie,Juliana Freire,George A. Mihaila
Meenakshi Nagarajan,Li Ding,Daniel Gruhl
Maristella Matera,Irene Garrigos,Boualem Benatallah,Silvia Mara Abrahao,Marco Brambilla,Nathalie Moreno,Nora Koch,Wolfgang Nejdl,Sara Comai,Paul De Bra,Alessandro Campi,Piero Fraternali,Davide Bolchini,Federico Michele Facca,Jin Yu,Geert-Jan Houben,Jaime Gomez,Peter Dolog,Sven Casteleyn,Santiago Melia,Olga De Troyer
Tantek Celik,Rohit Khare
Andreas Harth,Uwe Zdun,Wolfgang Nejdl,Peter Dolog
Yoelle S. Maarek,Ziv Bar-Yossef,Krishna Bharat,Bay-Wei Chang,Sigalit Ur,Ricardo A. Baeza-Yates,Ronny Lempel,Vladimir Soroka
Shourya Roy,Soumen Chakrabarti,Krishna Kummamuru,Rajeev Gupta
Ravi Kumar,Chi-Chao Chang,Sridhar Rajagopalan,Daniel Gruhl,Jure Leskovec,Andrew Tomkins,Kunal Punera,Kevin S. McCurley,Ziv Bar-Yossef,Lars Backstrom,John A. Tomlin,Soumen Chakrabarti,Marcus Fontoura
Johannes Meinecke,Martin Gaedke
Roberto De Virgilio,Geert-Jan Houben
Xin-Jing Wang,Gui-Rong Xue,Wei-Ying Ma
Wee Siong Ng,Panos Kalnis
Monica M. C. Schraefel,Kaj Gronbak,Paul De Bra
Mor Naaman,Erik Wilde,Arno Scharl
Fabio Vitali,Robert Tolksdorf
Jeremy J. Carroll,Christian Bizer
Matthew Richardson,Stanley Kok,Daniel Lowd
Taher H. Haveliwala,Sriram Raghavan,Junghoo Cho
Wagner Meira Jr.,Nivio Ziviani,Denilson Barbosa
C. Lee Giles,Prasenjit Mitra,Ji-Rong Wen,Augusto Pucci,Eric J. Glover,Vaclav Petricek,Steve Lawrence,Min-Yen Kan,Marco Maggini,Bamshad Mobasher,Belle L. Tseng,Yan Qu
Arno Scharl,Erik Wilde
Pedro Valderas,Victoria Torres,Joan Fons
Valeria Cardellini,Michele Colajanni
Ping Zhong,Jinlin Chen
Eric Lo,Donald Kossmann,Panos Kalnis
Jiangchuan Liu,Michael R. Lyu
Buddhima De Silva,Athula Ginige
Jianming Li,Yong Yu
Luis Olsina,Nora Koch,Daniel Schwabe,Maria de los Angeles Martin,Joan Fons,San Murugesan,Yogesh Deshpande,Damiano Distante,Silvia Mara Abrahao
Siegfried Reich,Kaj Gronbak,Gerhard Austaller,Lennert Sloth,Ippokratis Pandis,Niels Olof Bouvin
Juan-Zi Li,Kuo Zhang,Jie Tang,Gui-Rong Xue
Demetrius Arraes Nunes,Daniel Schwabe
Li Ding,Jennifer Golbeck,Zhuoqun Xu,Steffen Staab
Joao M. B. Cavalcanti,Edleno Silva de Moura,Denilson Barbosa,Juliana Freire,Altigran Soares da Silva
Andrea Pugliese,Alfredo Cuzzocrea,Massimiliano Albanese,Angela Bonifati
Shyong K. Lam,Steve Lawrence,Joseph A. Konstan
Paloma Diaz,Vania Dimitrova,Miguel Angel Sicilia Urban,Geert-Jan Houben,Steffen Staab
Kevin S. McCurley,Soumen Chakrabarti,Andrew Tomkins,Sridhar Rajagopalan,Daniel Gruhl,John A. Tomlin
Jinlin Chen,Wei-Ying Ma
David Lowe,Daniel Schwabe,Bebo White,Kaj Gronbak,Athula Ginige,Norazlin Yusop,Yogesh Deshpande,Pedro Peixoto,Erik Wilde,Martin Gaedke
Alexandros Ntoulas,Junghoo Cho,Marc Najork
Koji Hino,Belle L. Tseng,Wen-Syan Li,Wang-Pin Hsiung
Marco Maggini,Bing Liu,Franco Scarselli,Augusto Pucci
Davood Rafiei,Steve Lawrence
Dieter Fensel,Hamish Cunningham,Frank van Harmelen,Nicholas Kushmerick,Ricardo A. Baeza-Yates,Steffen Staab,Ning Zhong,Asuncion Gomez-Perez,James A. Hendler
Yih-Farn Chen,Giuseppe Di Fabbrizio,Balachander Krishnamurthy,Fred Douglis,Amy Reibman,Michael Rabinovich
Yogesh Deshpande,Daniel Schwabe,San Murugesan,Martin Gaedke,Bebo White,Athula Ginige
Yeliz Yesilada,Sven Casteleyn,Olga De Troyer
Krishna Bharat,Bay-Wei Chang,Jeffrey Dean,Jin Yu,George A. Mihaila,Tomonari Kamba,Marc Najork,Joseph A. Konstan
Eric A. Brewer,Kentaro Toyama,Donald Kossmann
Daniel Gruhl,Sridhar Rajagopalan,Roberto J. Bayardo Jr.,Andrew Tomkins,Jussi Myllymaki,John A. Tomlin,Savitha Srinivasan
Min Cai,Baoshi Yan,Michael R. Lyu
Victoria Torres,Joan Fons
Damiano Distante,Matias Urbieta,Davide Bolchini
Jie Tang,Kuo Zhang,Gui-Rong Xue
Bharat Kumar,Arnaud Sahuguet,Juliana Freire
Michael Rabinovich,Oliver Spatscheck,Balachander Krishnamurthy,Fred Douglis,Amy Reibman,Michele Colajanni
David R. Karger,Eytan Adar,David Huynh,Christian Bizer,Nicole Immorlica
Jennifer Golbeck,Sheng Jiang,Juliana Freire,Evren Sirin,Lloyd Rutledge,Steffen Staab,James A. Hendler
Srini Narayanan,Anupriya Ankolekar
Bettina Berendt,Sarabjot S. Anand,Dunja Mladenic,Bamshad Mobasher,Daniel Oberle
Andreas Grunhagen,Donald Kossmann
Edleno Silva de Moura,Nivio Ziviani,Paulo Braz Golgher,Juliana Freire,Wolfgang Nejdl,Ricardo A. Baeza-Yates,Altigran Soares da Silva,Paul-Alexandru Chirita
Stavros Papastavrou,Odysseas Papapetrou
Alfredo Cuzzocrea,Angela Bonifati
John A. Tomlin,Andrew Tomkins,Sridhar Rajagopalan
