Andrei Tamilin,Heiner Stuckenschmidt,Alexander Borgida,Luciano Serafini
William R. Swartout,Yolanda Gil,Eduard H. Hovy,Thomas R. Gruber,Timothy W. Finin
Marco Loregian,Flavio De Paoli
Stefan Schlobach,Maarten Marx,Ronald Cornet,Peter Mika,Michel C. A. Klein,Frank van Harmelen
Carlos Areces,Carsten Lutz,Enrico Franconi,Maarten Marx,Ulrike Sattler,Ian Horrocks
Jerome Nobecourt,Brigitte Biebow
Peter Mika,John Domingue,Daniel Oberle,Pedro Domingos,Lora Aroyo,Boris Motik,Stefan Decker,Hans Akkermans,Dean Allemang,Ronny Siebes,Michael Uschold,Steffen Staab,Jesus Contreras,V. Richard Benjamins,Peter Haase,John Davies,Frank van Harmelen,York Sure,Jennifer Golbeck,Marta Sabou,Jeen Broekstra,Chris Preist,Timothy W. Finin,Philipp Cimiano,Aldo Gangemi,Li Ding,James A. Hendler,Robin R. Vallacher,Dieter Fensel,Michel C. A. Klein
Emilia Cimpian,Michael Stollberg,Dieter Fensel,M. Omair Shafiq,Tomas Vitvar,Adrian Mocan
Felix Weigel,Francois Bry
Esther Kaufmann,Abraham Bernstein
Santtu Toivonen,Grit Denker
Jesus Contreras,John Davies,Blanca de Otto,R. Salla,Marcos Nino,V. Richard Benjamins,J. Sevilla,Mercedes Blazquez,John Domingue,Dieter Fensel,Pablo Castells,Oscar Corcho
Alan L. Rector,Ian Horrocks,York Sure,Ulrike Sattler,Chris Wroe,Jeremy Rogers,Holger Knublauch,Thomas Bittner,Bijan Parsia,Carole A. Goble,Werner Ceusters,Mark A. Musen,Yimin Wang,Sean Bechhofer
Fabien Gandon,Rose Dieng-Kuntz,Olivier Corby,Norman M. Sadeh,Claire Lecompte,Paola Turci,Rose Dieng
Udo Kruschwitz,Massimo Poesio,Raymond Turner
Heiner Stuckenschmidt,Steffen Staab,Livia Predoiu,Paolo Bouquet,Luciano Serafini,Nicola Guarino,Andrea Cali,Chris Wroe,Daniel Oberle,Pascal Hitzler,Erik M. van Mulligen,Peter Haase,Thomas Lukasiewicz,Thomas J. Vogele,Helena Sofia Pinto,Sean Bechhofer,Carole A. Goble,Rudi Studer,Marta Sabou,Fausto Giunchiglia,Pavel Shvaiko,Vojtech Svatek,Mikalai Yatskevich,Jeen Broekstra,York Sure,Frank van Harmelen,Anita de Waard,Dieter Fensel,Michel C. A. Klein,Ian Horrocks,Natasha F. Noy,Aldo Gangemi,Ondrej Svab,Holger Wache,Arjohn Kampman,Raphael Volz,Jerome Euzenat,Ronny Siebes,Michael Uschold
David Hirtle,Harold Boley
Richard J. Cole II,Gerd Stumme
Sergio Tessaris,Ian Horrocks,Luciano Serafini,Ulrike Sattler,Jeff Z. Pan,Jos de Bruijn,Tania Di Mascio,Peter F. Patel-Schneider,Enrico Franconi,Paolo Bresciani,Sean Bechhofer
Matthew Richardson,Mikhail Bilenko,Pedro Domingos
Yoshinobu Kitamura,Riichiro Mizoguchi,Takefumi Naganuma
Sylvie Despres,Stephane Lapalut,Olivier Corby,Rose Dieng,Amedeo Napoli,Amelie Cordier
Yuangui Lei,Marta Sabou,John Domingue,Farshad Hakimpour,Victoria S. Uren,Enrico Motta
Sanjay Modgil,Simon Miles
Thorsten Liebig,Sean Bechhofer,Olaf Noppens,Massimo Paolucci,Yuanbo Guo,Bijan Parsia,Marko Luther
Bob J. Wielinga,Borys Omelayenko,Nigel Shadbolt,Guus Schreiber,Joost Breuker,Laura Hollink,Jacco van Ossenbruggen,Hans Akkermans,Enrico Motta,Anjo Anjewierden,V. Richard Benjamins,Mark A. Musen,Stefan Decker,Frank van Harmelen,Lora Aroyo,Rudi Studer,Dieter Fensel,Ronny Siebes
Terry R. Payne,Ora Lassila,John Domingue,James G. Shanahan,Farshad Hakimpour,Chris Wroe,Takahiro Kawamura,Jeremy G. Frey,Nicholas Gibbins,Jerome Euzenat,Hugo R. Mills,Martin Szomszor,Enrico Motta,Ignazio Palmisano,Bijan Parsia,Honglei Zeng,Mark H. Burstein,Valentina A. M. Tamma,Grit Denker,Marta Sabou,David De Roure,Massimo Paolucci,Carole A. Goble,Hai H. Wang,Katia P. Sycara,Simon Miles,Sheila A. McIlraith,Deborah L. McGuinness,Anupriya Ankolekar
John Davies,York Sure,V. Richard Benjamins,Marc Richardson,Dieter Fensel,John Domingue,Amit P. Sheth
Oleksiy Khriyenko,Vagan Y. Terziyan
F. Soualmia,Farouk Toumani
Victoria S. Uren,Fabio Ciravegna,Martin Dzbor,Philipp Cimiano,Enrico Motta,Marta Sabou,Siegfried Handschuh,John Domingue,Pablo Castells
Guido Governatori,Nick Bassiliades,Grigoris Antoniou,Duy Hoang
Raphael Volz,Daniel Oberle,Siegfried Handschuh,Christoph Schmitz,Nenad Stojanovic,Boris Motik,Robert Meersman,Stefan Decker,Nicola Guarino,Gerd Stumme,Steffen Staab,Andreas Eberhart,Peter Haase,York Sure,Marta Sabou,Jeen Broekstra,Sean Bechhofer,Aldo Gangemi,Rudi Studer,Ian Horrocks,Peter Spyns,Benjamin N. Grosof,Mustafa Jarrar,Ljiljana Stojanovic,Alexander Maedche
Pascal Hitzler,Daniel Oberle,Enrico Franconi,Boris Motik,Luciano Serafini,Paolo Bouquet,Andreas Eberhart,Peter Haase,Michael Sintek,York Sure,Natalia Cherchago,Zuoquan Lin,Jurgen Angele,Philipp Cimiano,Rudi Studer,Markus Krotzsch,Guilin Qi,Holger Wache,Denny Vrandecic,Anupriya Ankolekar,Malte Kiesel
Li Ding,Timothy W. Finin,Deborah L. McGuinness,Amit P. Sheth,Boanerges Aleman-Meza,Rong Pan,Robin R. Vallacher,Jennifer Golbeck,Steffen Staab,Pedro Domingos,Paulo Pinheiro da Silva,Cartic Ramakrishnan,Honglei Zeng
Elena Paslaru Bontas Simperl,Helena Sofia Pinto,York Sure,Fausto Giunchiglia,Reto Krummenacher,Lyndon J. B. Nixon,Andreas Harth,Emanuele Della Valle,Dieter Fensel,Rudi Studer,Francisco Martin-Recuerda
Yannis Tzitzikas,Vassilis Christophides,Dimitris Plexousakis
Kurt Godden,Deborah L. McGuinness
Margret Gros-Hardt,Alex Sinner,Thomas Kleemann
John Khouri,Grit Denker,Daniel Elenius
Martin Doerr,Grigoris Antoniou,Irini Fundulaki,Ellen Schulten,Austin Tate,Jane Hunter,Dimitris Plexousakis,Vassilis Christophides,Matthew Addis,Nicola Guarino,Nick Bassiliades,Barry Smith
